,ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
3429348,A-3436071,Bing,,2,2020-12-29 16:15:00,2020-12-29 23:32:44,34.229923,-117.211105,34.231439,-117.207404,0.23600000000000002,Incident on CA-18 near RIM HIGH Drive with caution.,27169.0, State Highway 18,R,San Bernardino,San Bernardino,CA,92407,US,US/Pacific,KSBD,2020-12-29 15:53:00,59.0,59.0,29.0,28.9,7.0,NNE,17.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3804311,A-3811172,Bing,,2,2019-10-19 18:46:00,2019-10-19 22:01:27,34.035712,-118.17014499999999,34.035712,-118.17014499999999,0.0,At CA-60 - Accident.,,CA-60 W,R,Los Angeles,Los Angeles,CA,90022,US,US/Pacific,KCQT,2019-10-19 18:52:00,70.0,70.0,57.0,29.64,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
3380099,A-3386170,Bing,,2,2020-11-21 08:43:00,2020-11-21 12:30:14,38.617427,-121.35526200000001,38.61742,-121.354437,0.045,4830. 1039 BOTH RPS // BOTH PTYS STILL 97 // DISPUTE OVER FAULT AND DAMG,4698.0, Marconi Ave,R,Sacramento,Sacramento,CA,95821-4316,US,US/Pacific,KMCC,2020-11-21 08:55:00,46.0,46.0,81.0,30.12,10.0,CALM,0.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3003577,A-3004433,Bing,,2,2020-11-20 13:18:00,2020-11-20 15:23:39,34.019521999999995,-118.180044,34.014963,-118.17008500000001,0.652,Incident on I-5 SB near OLYMPIC BLVD Drive with caution.,,I-5 S,R,Los Angeles,Los Angeles,CA,90023,US,US/Pacific,KCQT,2020-11-20 12:52:00,74.0,74.0,40.0,29.84,10.0,CALM,0.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1218502,A-1218605,MapQuest,201.0,3,2019-09-16 18:56:34,2019-09-16 20:04:33,32.253761,-80.84671800000001,,,0.0,Accident on US-278 Fording Island Rd at Gateway Village Rd.,1096.0,Fording Island Rd,L,Bluffton,Beaufort,SC,29910-6560,US,US/Eastern,KHXD,2019-09-16 18:50:00,82.0,82.0,79.0,29.92,10.0,SE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3433437,A-3440201,Bing,,2,2020-11-19 06:00:44,2020-11-19 08:17:12,40.705963,-74.24548399999999,40.707445,-74.245189,0.10400000000000001,Crash on Garden State Parkway northbound Exit 142-A - I-78 East (Hillside Twp) All lanes open to traffic,,Garden State Pkwy N,R,Hillside,Union,NJ,07205,US,US/Eastern,KEWR,2020-11-19 05:51:00,28.0,22.0,61.0,30.61,10.0,SW,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
1170107,A-1170210,MapQuest,201.0,2,2019-10-05 10:50:07,2019-10-05 11:34:55,33.846740999999994,-118.193855,,,0.0,Accident on Long Beach Blvd at Del Amo Blvd.,1.0,W Del Amo Blvd,L,Long Beach,Los Angeles,CA,90805-6302,US,US/Pacific,KLGB,2019-10-05 10:53:00,76.0,76.0,38.0,29.99,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
3742816,A-3749677,Bing,,2,2019-12-22 23:27:00,2019-12-23 00:20:54,34.163267,-118.472417,34.163267,-118.472417,0.0,At I-405/San Diego Fwy - Accident.,,US-101 S,R,Sherman Oaks,Los Angeles,CA,91403,US,US/Pacific,KVNY,2019-12-22 23:51:00,49.0,46.0,86.0,29.01,7.0,ENE,7.0,0.24,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
580482,A-580508,MapQuest,201.0,2,2020-11-08 10:18:07,2020-11-08 11:19:34,34.010234999999994,-118.16004199999999,,,0.0,Accident on I-5 Southbound at Exit 130A Triggs St.,,I-5 S,R,Los Angeles,Los Angeles,CA,90022,US,US/Pacific,KCQT,,,,,,,,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,Day,Day,Day,Day
3638524,A-3645359,Bing,,2,2020-04-17 07:04:07,2020-04-17 11:43:39,43.27472,-71.36735999999999,43.27472,-71.36735999999999,0.0,At US-202/US-4/RT-9/Dover Rd - Accident.,191.0, Suncook Valley Rd,L,Chichester,Merrimack,NH,03258,US,US/Eastern,KCON,2020-04-17 06:51:00,30.0,30.0,56.0,29.77,10.0,SSE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
811715,A-811794,MapQuest,201.0,2,2020-06-16 04:54:49,2020-06-16 05:24:35,30.506451000000002,-87.356239,,,0.0,Accident on US-90 Mobile Hwy at Woodside Rd.,7501.0,Mobile Hwy,L,Pensacola,Escambia,FL,32526-4205,US,US/Central,KPNS,2020-06-16 04:53:00,73.0,73.0,76.0,29.92,10.0,N,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
686163,A-686192,MapQuest,241.0,3,2020-07-11 18:07:11,2020-07-11 18:52:53,40.908478,-74.173897,,,0.0,Lane blocked due to accident on I-80 Eastbound at Exits 57A 57B 57B-A NJ-19.,,NJ-19 N,R,Paterson,Passaic,NJ,07501,US,US/Eastern,KCDW,2020-07-11 17:53:00,89.0,89.0,59.0,29.42,10.0,VAR,5.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
640859,A-640887,MapQuest,201.0,3,2020-10-12 12:05:59,2020-10-12 13:20:56,33.445229,-112.03679699999999,,,0.0,HOV lane blocked due to accident on I-10 Westbound near Exit 148.,,Frontage Rd,R,Phoenix,Maricopa,AZ,85034,US,US/Mountain,KPHX,2020-10-12 11:51:00,86.0,86.0,20.0,28.81,10.0,SE,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1228910,A-1229013,MapQuest,406.0,3,2019-08-21 21:09:56,2019-08-21 23:30:37,26.500659999999996,-81.79409799999999,,,1.32000005245,Entry ramp to I-75 Northbound from Alico Rd closed due to accident.,,I-75 N,R,Fort Myers,Lee,FL,33913,US,US/Eastern,KRSW,2019-08-21 20:53:00,78.0,78.0,84.0,30.02,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
679548,A-679577,MapQuest,201.0,2,2020-09-05 12:55:51,2020-09-05 13:38:52,35.317787,-119.036217,,,0.0,Accident on CA-99 Southbound at Exit 21 White Ln.,,White Ln,R,Bakersfield,Kern,CA,93304,US,US/Pacific,KBFL,2020-09-05 12:54:00,97.0,97.0,26.0,29.42,6.0,NW,8.0,0.0,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3556199,A-3563002,Bing,,2,2020-06-19 20:42:36,2020-06-19 21:12:36,38.87018,-77.30078,38.87018,-77.30078,0.0,At VA-123/Exit 60 - Accident. Hard shoulder blocked.,,I-66 E,R,Fairfax,Fairfax County,VA,22030,US,US/Eastern,KIAD,2020-06-19 20:36:00,73.0,73.0,90.0,29.72,8.0,S,5.0,0.01,Light Rain with Thunder,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
4180491,A-4187357,Bing,,2,2019-05-21 11:35:59,2019-05-21 12:04:42,41.134679999999996,-74.16665,41.13138,-74.16999,0.287,Between RT-17/RT-59 and RT-17/RT-59/Exit 15A - Overturned heavy truck. Lane blocked.,1.0, Route 17,L,Sloatsburg,Rockland,NY,10974-2658,US,US/Eastern,KCDW,2019-05-21 11:53:00,65.0,65.0,36.0,29.77,10.0,NW,14.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
