,ID,Source,TMC,Severity,Start_Time,End_Time,lat,long,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
3429348,A-3436071,Bing,,2,12/29/2020 16:15,12/29/2020 23:32,34.229923,-117.211105,34.231439,-117.207404,0.236,Incident on CA-18 near RIM HIGH Drive with caution.,27169, State Highway 18,R,San Bernardino,San Bernardino,CA,92407,US,US/Pacific,KSBD,12/29/2020 15:53,59,59,29,28.9,7,NNE,17,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3804311,A-3811172,Bing,,2,10/19/2019 18:46,10/19/2019 22:01,34.035712,-118.170145,34.035712,-118.170145,0,At CA-60 - Accident.,,CA-60 W,R,Los Angeles,Los Angeles,CA,90022,US,US/Pacific,KCQT,10/19/2019 18:52,70,70,57,29.64,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
3380099,A-3386170,Bing,,2,11/21/2020 8:43,11/21/2020 12:30,38.617427,-121.355262,38.61742,-121.354437,0.045,4830. 1039 BOTH RPS // BOTH PTYS STILL 97 // DISPUTE OVER FAULT AND DAMG,4698, Marconi Ave,R,Sacramento,Sacramento,CA,95821-4316,US,US/Pacific,KMCC,11/21/2020 8:55,46,46,81,30.12,10,CALM,0,,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3003577,A-3004433,Bing,,2,11/20/2020 13:18,11/20/2020 15:23,34.019522,-118.180044,34.014963,-118.170085,0.652,Incident on I-5 SB near OLYMPIC BLVD Drive with caution.,,I-5 S,R,Los Angeles,Los Angeles,CA,90023,US,US/Pacific,KCQT,11/20/2020 12:52,74,74,40,29.84,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
1218502,A-1218605,MapQuest,201,3,9/16/2019 18:56,9/16/2019 20:04,32.253761,-80.846718,,,0,Accident on US-278 Fording Island Rd at Gateway Village Rd.,1096,Fording Island Rd,L,Bluffton,Beaufort,SC,29910-6560,US,US/Eastern,KHXD,9/16/2019 18:50,82,82,79,29.92,10,SE,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3433437,A-3440201,Bing,,2,11/19/2020 6:00,11/19/2020 8:17,40.705963,-74.245484,40.707445,-74.245189,0.104,Crash on Garden State Parkway northbound Exit 142-A - I-78 East (Hillside Twp) All lanes open to traffic,,Garden State Pkwy N,R,Hillside,Union,NJ,7205,US,US/Eastern,KEWR,11/19/2020 5:51,28,22,61,30.61,10,SW,6,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
1170107,A-1170210,MapQuest,201,2,10/5/2019 10:50,10/5/2019 11:34,33.846741,-118.193855,,,0,Accident on Long Beach Blvd at Del Amo Blvd.,1,W Del Amo Blvd,L,Long Beach,Los Angeles,CA,90805-6302,US,US/Pacific,KLGB,10/5/2019 10:53,76,76,38,29.99,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
3742816,A-3749677,Bing,,2,12/22/2019 23:27,12/23/2019 0:20,34.163267,-118.472417,34.163267,-118.472417,0,At I-405/San Diego Fwy - Accident.,,US-101 S,R,Sherman Oaks,Los Angeles,CA,91403,US,US/Pacific,KVNY,12/22/2019 23:51,49,46,86,29.01,7,ENE,7,0.24,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
580482,A-580508,MapQuest,201,2,11/8/2020 10:18,11/8/2020 11:19,34.010235,-118.160042,,,0,Accident on I-5 Southbound at Exit 130A Triggs St.,,I-5 S,R,Los Angeles,Los Angeles,CA,90022,US,US/Pacific,KCQT,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3638524,A-3645359,Bing,,2,4/17/2020 7:04,4/17/2020 11:43,43.27472,-71.36736,43.27472,-71.36736,0,At US-202/US-4/RT-9/Dover Rd - Accident.,191, Suncook Valley Rd,L,Chichester,Merrimack,NH,3258,US,US/Eastern,KCON,4/17/2020 6:51,30,30,56,29.77,10,SSE,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
811715,A-811794,MapQuest,201,2,6/16/2020 4:54,6/16/2020 5:24,30.506451,-87.356239,,,0,Accident on US-90 Mobile Hwy at Woodside Rd.,7501,Mobile Hwy,L,Pensacola,Escambia,FL,32526-4205,US,US/Central,KPNS,6/16/2020 4:53,73,73,76,29.92,10,N,7,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
686163,A-686192,MapQuest,241,3,7/11/2020 18:07,7/11/2020 18:52,40.908478,-74.173897,,,0,Lane blocked due to accident on I-80 Eastbound at Exits 57A 57B 57B-A NJ-19.,,NJ-19 N,R,Paterson,Passaic,NJ,7501,US,US/Eastern,KCDW,7/11/2020 17:53,89,89,59,29.42,10,VAR,5,0,Fair,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
640859,A-640887,MapQuest,201,3,10/12/2020 12:05,10/12/2020 13:20,33.445229,-112.036797,,,0,HOV lane blocked due to accident on I-10 Westbound near Exit 148.,,Frontage Rd,R,Phoenix,Maricopa,AZ,85034,US,US/Mountain,KPHX,10/12/2020 11:51,86,86,20,28.81,10,SE,6,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
1228910,A-1229013,MapQuest,406,3,8/21/2019 21:09,8/21/2019 23:30,26.50066,-81.794098,,,1.320000052,Entry ramp to I-75 Northbound from Alico Rd closed due to accident.,,I-75 N,R,Fort Myers,Lee,FL,33913,US,US/Eastern,KRSW,8/21/2019 20:53,78,78,84,30.02,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
679548,A-679577,MapQuest,201,2,9/5/2020 12:55,9/5/2020 13:38,35.317787,-119.036217,,,0,Accident on CA-99 Southbound at Exit 21 White Ln.,,White Ln,R,Bakersfield,Kern,CA,93304,US,US/Pacific,KBFL,9/5/2020 12:54,97,97,26,29.42,6,NW,8,0,Haze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
3556199,A-3563002,Bing,,2,6/19/2020 20:42,6/19/2020 21:12,38.87018,-77.30078,38.87018,-77.30078,0,At VA-123/Exit 60 - Accident. Hard shoulder blocked.,,I-66 E,R,Fairfax,Fairfax County,VA,22030,US,US/Eastern,KIAD,6/19/2020 20:36,73,73,90,29.72,8,S,5,0.01,Light Rain with Thunder,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
4180491,A-4187357,Bing,,2,5/21/2019 11:35,5/21/2019 12:04,41.13468,-74.16665,41.13138,-74.16999,0.287,Between RT-17/RT-59 and RT-17/RT-59/Exit 15A - Overturned heavy truck. Lane blocked.,1, Route 17,L,Sloatsburg,Rockland,NY,10974-2658,US,US/Eastern,KCDW,5/21/2019 11:53,65,65,36,29.77,10,NW,14,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
